Vendor ID,Vendor,Count
83,Ambir Technology ,6
104,"Ansible, Inc ",6
106,ANU Data Mining Group ,6
110,AOP Alliance ,6
123,"AppDynamics, Inc. ",6
130,Arch Fitters ,6
135,Ariya Hidayat ,6
187,Axure Software Solutions ,6
209,BestieJS Modules ,6
210,Biddle Consulting Group ,6
212,bigpipe ,6
219,"BIOPAC Systems, Inc ",6
222,Birch Grove Software ,6
239,BonitaSoft ,6
248,Brian White ,6
263,Burlington Medical Supplies ,6
270,"Calabrio, Inc. ",6
287,Carestream Medical and Dental ,6
308,Chef ,6
334,Cochlear ,6
338,Code4ward ,6
340,CodeSmith Tools ,6
400,DART ,6
410,Dataworks Development Inc. ,6
413,Dave Pacheco ,6
416,David Gilbert ,6
423,"Decision Systems, Inc. ",6
434,"Dent Instruments, Inc. ",6
446,Dexcom ,6
449,DIA Developers ,6
455,"Digisonics, Inc. ",6
465,DisplayLink ,6
473,"Docker, Inc. ",6
489,dougwilson ,6
491,Dr Eric Stallard ,6
502,"Duxbury Systems, Inc. ",6
525,ELDOS ,6
551,Enhansoft ,6
559,Equifax ,6
581,EXP Systems ,6
582,Expert-24 ,6
584,Extech ,6
594,FasterXML ,6
596,FastStone Soft ,6
606,FileMaker Inc. ,6
610,Fiserv ,6
618,FM:Systems ,6
628,FreeFileSync ,6
632,Frontier Kernel Project ,6
639,Garmin ,6
651,Gerry Shaw ,6
656,GIMP ,6
672,Grason-Stadler ,6
683,GS1 ,6
686,Guidance Software ,6
696,Harvard University Institute for Quantitative Social Science ,6
699,Health Net Federal Services ,6
700,HealthcareSource ,6
710,HelpSystems ,6
714,Hibernating Rhinos ,6
722,"Honaker, King and Blackwell ",6
742,iDashboards ,6
744,IDEC ,6
759,Imation ,6
763,Impact Technologies ,6
771,InfoEther ,6
792,Inspironix ,6
797,Intelemage ,6
804,InterFaceWare ,6
822,Iron Bow Technologies ,6
841,Jake Verbaten ,6
845,James Gregory ,6
851,Jan Lehnardt ,6
867,Jean Gabes ,6
887,Journey Forward ,6
888,"Joyent, Inc. ",6
932,Konexx ,6
940,"Kronos, Inc. ",6
961,Liaison Technologies ,6
965,Lincoln Peak Partners ,6
968,Lippincott Williams & Wilkins ,6
969,litixsoft ,6
973,LK4 Technology ,6
975,Lo-Dash ,6
978,Logitech ,6
995,Maine Standards Company ,6
1010,Mark-10 ,6
1032,MedCalc Software ,6
1038,Medical Packaging Inc. (MPI) ,6
1056,Metalogix ,6
1057,MGC Diagnostics ,6
1061,Michael Hart ,6
1072,MicroStrategy ,6
1080,Mind Media B.V. ,6
1095,Modernizr ,6
1108,Mozilla ,6
1109,mRemoteNG.org ,6
1126,NASA ,6
1138,Natural Resources Canada ,6
1157,NETGEAR ,6
1179,NHibernate Community ,6
1184,Nintex ,6
1185,Nipro Diagnostics ,6
1187,Nitro ,6
1190,Noah Spurrier ,6
1194,NodeRedis ,6
1201,Novell ,6
1210,NUnit.org ,6
1212,Nurep ,6
1227,Octopus Deploy ,6
1230,OfficeWork Software ,6
